timeStamp: 538566617745379328, state: Initial, ppg0: 310799, ppg1: 395688, ppg2: 322626, ambient: 5281
timeStamp: 538566617752799488, state: Initial, ppg0: 310810, ppg1: 395713, ppg2: 322543, ambient: 5319
timeStamp: 538566617760219648, state: Initial, ppg0: 310805, ppg1: 395751, ppg2: 322593, ambient: 5224
timeStamp: 538566617767639744, state: Initial, ppg0: 310842, ppg1: 395671, ppg2: 322645, ambient: 5324
timeStamp: 538566617775059904, state: Initial, ppg0: 310749, ppg1: 395665, ppg2: 322600, ambient: 5311
timeStamp: 538566617782480000, state: Initial, ppg0: 310765, ppg1: 395628, ppg2: 322602, ambient: 5416
timeStamp: 538566617789900160, state: Initial, ppg0: 310819, ppg1: 395592, ppg2: 322583, ambient: 5320
timeStamp: 538566617797320256, state: Initial, ppg0: 310908, ppg1: 395682, ppg2: 322701, ambient: 5425
timeStamp: 538566617804740416, state: Initial, ppg0: 310969, ppg1: 395738, ppg2: 322639, ambient: 5427
timeStamp: 538566617812160512, state: Initial, ppg0: 310989, ppg1: 395764, ppg2: 322809, ambient: 5502
timeStamp: 538566617819582464, state: Initial, ppg0: 310680, ppg1: 395863, ppg2: 322564, ambient: 5557
timeStamp: 538566617827004416, state: Initial, ppg0: 310783, ppg1: 395877, ppg2: 322698, ambient: 5539
timeStamp: 538566617834426368, state: Initial, ppg0: 310857, ppg1: 395904, ppg2: 322632, ambient: 5440
timeStamp: 538566617841848320, state: Initial, ppg0: 310990, ppg1: 395890, ppg2: 322765, ambient: 5394
timeStamp: 538566617849270272, state: Initial, ppg0: 311008, ppg1: 395867, ppg2: 322839, ambient: 5430
timeStamp: 538566617856692224, state: Initial, ppg0: 311029, ppg1: 395778, ppg2: 322806, ambient: 5448
timeStamp: 538566617864114176, state: Initial, ppg0: 311058, ppg1: 395920, ppg2: 322820, ambient: 5415
timeStamp: 538566617871536128, state: Initial, ppg0: 311008, ppg1: 395918, ppg2: 322817, ambient: 5329
timeStamp: 538566617878958080, state: Initial, ppg0: 311077, ppg1: 396068, ppg2: 322883, ambient: 5412
timeStamp: 538566617886380032, state: Initial, ppg0: 311064, ppg1: 396016, ppg2: 322908, ambient: 5394
timeStamp: 538566617893801984, state: Initial, ppg0: 311119, ppg1: 396046, ppg2: 322850, ambient: 5357
timeStamp: 538566617901223936, state: Initial, ppg0: 311037, ppg1: 395994, ppg2: 322920, ambient: 5369
timeStamp: 538566617908645888, state: Initial, ppg0: 311114, ppg1: 396057, ppg2: 322871, ambient: 5426
timeStamp: 538566617916067840, state: Initial, ppg0: 311130, ppg1: 396081, ppg2: 323018, ambient: 5461
timeStamp: 538566617923489792, state: Initial, ppg0: 311235, ppg1: 396132, ppg2: 323021, ambient: 5403
timeStamp: 538566617930911744, state: Initial, ppg0: 311224, ppg1: 396155, ppg2: 323020, ambient: 5368
timeStamp: 538566617938333696, state: Initial, ppg0: 311255, ppg1: 396126, ppg2: 323078, ambient: 5344
timeStamp: 538566617945755648, state: Initial, ppg0: 311217, ppg1: 396143, ppg2: 323102, ambient: 5262
timeStamp: 538566617953173952, state: Initial, ppg0: 311403, ppg1: 396310, ppg2: 323107, ambient: 5219
timeStamp: 538566617960592256, state: Initial, ppg0: 311356, ppg1: 396298, ppg2: 323134, ambient: 5304
timeStamp: 538566617968010560, state: Initial, ppg0: 311361, ppg1: 396355, ppg2: 323171, ambient: 5380
timeStamp: 538566617975428864, state: Initial, ppg0: 311381, ppg1: 396467, ppg2: 323295, ambient: 5292
timeStamp: 538566617982847168, state: Initial, ppg0: 311614, ppg1: 396720, ppg2: 323117, ambient: 5140
timeStamp: 538566617990265536, state: Initial, ppg0: 311510, ppg1: 396637, ppg2: 323356, ambient: 5227
timeStamp: 538566617997683840, state: Initial, ppg0: 311516, ppg1: 396635, ppg2: 323444, ambient: 5214
timeStamp: 538566618005102144, state: Initial, ppg0: 311622, ppg1: 396718, ppg2: 323529, ambient: 5327
timeStamp: 538566618012520448, state: Initial, ppg0: 311690, ppg1: 396809, ppg2: 323687, ambient: 5314
timeStamp: 538566618019938752, state: Initial, ppg0: 311640, ppg1: 396856, ppg2: 323693, ambient: 5303
timeStamp: 538566618027357056, state: Initial, ppg0: 311743, ppg1: 396986, ppg2: 323769, ambient: 5262
